,tweet
0,"PNP OIC PLTGEN Danao Jr. confirmed that two members of the  CPP-NPA in Casiguran, Sorsogon have surrendered.

Read more: https://t.co/XmhIdeT3Ko

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/H0EjRHqenZ"
1,"This anti-illegal drug operation also led to the seizure of 25 sachets of shabu worth P1,156,000.00.
Read more: https://t.co/zM7kpsEb6V

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/qc0K6pVHA0"
2,"A regional level most wanted person for illegal drugs was nabbed in a joint operation by police operatives and PDEA agents.
Read more: https://t.co/WuF7p2WxpP

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/ZViv3YYpib"
3,"Three former members of a CTG in Masbate are now reintegrated back to mainstream society after they surrendered to authorities.

Read more: https://t.co/I19pDf4vEX

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/aVFzf5ChxK"
4,"A 37-year-old drug suspect was busted in an anti-illegal drug operation in San Felipe, Naga City, Bicol region.

Read more: https://t.co/XeDSauKkBU

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/lRs5LarxY6"
5,"Recovered from the two suspects were 13 sachets containing suspected shabu weighing more or less 65 grams.
Read more: https://t.co/Rp2NybSEGd

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/I7ndaxAEtS"
6,"Police authorities implemented a Warrant of Arrest that led to the apprehension of a most wanted person.
Read more: https://t.co/nUZdaJTB9J

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/cPcXwNaCzP"
7,"Police arrested on Monday a member of a communist terrorist group in Cagayan.  
Read more: https://t.co/IqlO2z1Dp1

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna
https://t.co/txtYyrzpsG https://t.co/rTXZgq5o3a"
8,"Joint elements of Tampakan MPS, PIU, 1st PMFC all of SCPPO, and 1205th MC RMFB 12 facilitated the voluntary surrender of these personalities.
Read more: https://t.co/M5h1rS5hdK

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/cwqGFRkWCp"
9,"ATTY. BENJAMIN C. ABALOS JR, Secretary of the DILG awarded the Medalya ng Kadakilaan to the personnel of MPD.

Read more: https://t.co/LlPQNWHpl1

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/F6jM7al3Is"
