id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1013208061908054019,1013208061908054019,2018-07-01 07:50:01 Malay Peninsula Standard Time,2018-07-01,07:50:01,+0800,15375209,manilabulletin,Manila Bulletin News,,Off the beaten track  https://t.co/KPys0duFxD,en,[],['https://lifestyle.mb.com.ph/2018/07/01/off-the-beaten-track/'],[],0,0,1,[],[],https://twitter.com/manilabulletin/status/1013208061908054019,False,,0,,,,,,,,[],,,,
1013205544818085893,1013205544818085893,2018-07-01 07:40:00 Malay Peninsula Standard Time,2018-07-01,07:40:00,+0800,15375209,manilabulletin,Manila Bulletin News,,Denied mission  https://t.co/PoYbnNfZeX,en,[],['https://entertainment.mb.com.ph/2018/07/01/denied-mission/'],[],0,0,2,[],[],https://twitter.com/manilabulletin/status/1013205544818085893,False,,0,,,,,,,,[],,,,
1013203039476436992,1013203039476436992,2018-07-01 07:30:03 Malay Peninsula Standard Time,2018-07-01,07:30:03,+0800,15375209,manilabulletin,Manila Bulletin News,,Uruguay ousts Portugal from #WorldCup 2-1  https://t.co/3RcLcbvRer,en,[],['https://sports.mb.com.ph/2018/07/01/uruguay-ousts-portugal-from-world-cup-2-1/'],[],0,0,4,['worldcup'],[],https://twitter.com/manilabulletin/status/1013203039476436992,False,,0,,,,,,,,[],,,,
1013200560001036295,1013200560001036295,2018-07-01 07:20:12 Malay Peninsula Standard Time,2018-07-01,07:20:12,+0800,15375209,manilabulletin,Manila Bulletin News,,Love wins at Metro Manila #Pride2018  https://t.co/ziIEsEaUwr,tl,[],['https://news.mb.com.ph/2018/06/30/love-wins-at-metro-manila-pride-2018-2/'],[],3,0,6,['pride2018'],[],https://twitter.com/manilabulletin/status/1013200560001036295,False,,0,,,,,,,,[],,,,
1013198750561591296,1013198750561591296,2018-07-01 07:13:01 Malay Peninsula Standard Time,2018-07-01,07:13:01,+0800,15375209,manilabulletin,Manila Bulletin News,,Gilas in united stand  https://t.co/IQ8tWQ5Qxy,en,[],['https://sports.mb.com.ph/2018/07/01/gilas-in-united-stand/'],[],0,0,0,[],[],https://twitter.com/manilabulletin/status/1013198750561591296,False,,0,,,,,,,,[],,,,
1013197998745059328,1013197998745059328,2018-07-01 07:10:01 Malay Peninsula Standard Time,2018-07-01,07:10:01,+0800,15375209,manilabulletin,Manila Bulletin News,,Japan Christian sites added to UNESCO World Heritage list  https://t.co/xTRkX06aCX,en,[],['http://bit.ly/2IFP9Wb'],[],0,4,4,[],[],https://twitter.com/manilabulletin/status/1013197998745059328,False,,0,,,,,,,,[],,,,
1013195528857882625,1013195528857882625,2018-07-01 07:00:12 Malay Peninsula Standard Time,2018-07-01,07:00:12,+0800,15375209,manilabulletin,Manila Bulletin News,,P6.7 B worth of fake goods seized from Jan.  https://t.co/WpuEd0t3DS,en,[],['http://bit.ly/2KmBdGF'],[],0,0,1,[],[],https://twitter.com/manilabulletin/status/1013195528857882625,False,,0,,,,,,,,[],,,,
1013194166132592640,1013194166132592640,2018-07-01 06:54:48 Malay Peninsula Standard Time,2018-07-01,06:54:48,+0800,15375209,manilabulletin,Manila Bulletin News,,"Kai Sotto's 23-point, 12-rebound performance proves not enough as Batang Gilas falls prey to Croatia, 97-75, at the start of the 2018 #FIBAU17 World Cup. The Nationals will try to bounce back vs Euro titlist France tomorrow. | @BudoyLagunzad",en,"[{'screen_name': 'budoylagunzad', 'name': 'jerome lagunzad', 'id': '1063511785'}]",[],[],0,0,8,['fibau17'],[],https://twitter.com/manilabulletin/status/1013194166132592640,False,,0,,,,,,,,[],,,,
1013192962434625541,1013192962434625541,2018-07-01 06:50:01 Malay Peninsula Standard Time,2018-07-01,06:50:01,+0800,15375209,manilabulletin,Manila Bulletin News,,GM warns Trump tariffs could lead to ‘smaller GM’  https://t.co/GT3ojAULII,en,[],['http://bit.ly/2Kkm4oV'],[],0,0,1,[],[],https://twitter.com/manilabulletin/status/1013192962434625541,False,,0,,,,,,,,[],,,,
1013190444036100098,1013190444036100098,2018-07-01 06:40:00 Malay Peninsula Standard Time,2018-07-01,06:40:00,+0800,15375209,manilabulletin,Manila Bulletin News,,DA honors ‘Gawad Saka’ achievers in Cordillera  https://t.co/9noSZcSJVY,tl,[],['http://bit.ly/2yVYfyx'],[],0,0,2,[],[],https://twitter.com/manilabulletin/status/1013190444036100098,False,,0,,,,,,,,[],,,,
